Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
Origin,N/A,27053001100,no,N/A,no,0,745242356423236
Origin,N/A,27053001700,no,N/A,no,0,745027607997014
Origin,N/A,27053002400,no,N/A,no,0,745025460453968
Origin,N/A,27053003801,no,N/A,no,0,745223028806210
Origin,N/A,27053003802,no,N/A,no,0,745265978470948
Origin,N/A,27053005901,no,N/A,no,0,745089884680758
Origin,N/A,27053005902,no,N/A,no,0,745053377421880
Origin,N/A,27053006800,no,N/A,no,0,744894463607352
Origin,N/A,27053007700,no,N/A,no,0,744855808819782
Origin,N/A,27053007801,no,N/A,no,0,744963183024670
Origin,N/A,27053008100,no,N/A,no,0,744806416652866
Origin,N/A,27053008200,no,N/A,no,0,744892315998786
Origin,N/A,27053008300,no,N/A,no,0,744969625410102
Origin,N/A,27053008400,no,N/A,no,0,745036197403190
Origin,N/A,27053101200,no,N/A,no,0,745338993156716
Origin,N/A,27053101800,no,N/A,no,0,745137129685598
Origin,N/A,27053101900,no,N/A,no,0,745242356363844
Origin,N/A,27053102500,no,N/A,no,0,745147867028052
Origin,N/A,27053102600,no,N/A,no,0,745326108164736
Origin,N/A,27053103000,no,N/A,no,0,745029755363928
Origin,N/A,27053103100,no,N/A,no,0,745154309419578
Origin,N/A,27053103600,no,N/A,no,0,745094179824212
Origin,N/A,27053103700,no,N/A,no,0,745171489217106
Origin,N/A,27053103900,no,N/A,no,0,745304633168414
Origin,N/A,27053104001,no,N/A,no,0,745450662064752
Origin,N/A,27053104002,no,N/A,no,0,745414154936978
Origin,N/A,27053104400,no,N/A,no,0,744967478170188
Origin,N/A,27053104801,no,N/A,no,0,745175784036898
Origin,N/A,27053104802,no,N/A,no,0,745259535907432
Origin,N/A,27053104901,no,N/A,no,0,745323960461928
Origin,N/A,27053104902,no,N/A,no,0,745418449693258
Origin,N/A,27053105201,no,N/A,no,0,744888021252666
Origin,N/A,27053105204,no,N/A,no,0,744956740706864
Origin,N/A,27053105400,no,N/A,no,0,745064114905660
Origin,N/A,27053105500,no,N/A,no,0,744787089486442
Origin,N/A,27053105600,no,N/A,no,0,744892316166712
Origin,N/A,27053105700,no,N/A,no,0,744971773055518
Origin,N/A,27053106000,no,N/A,no,0,745145719214662
Origin,N/A,27053106200,no,N/A,no,0,745259535841860
Origin,N/A,27053106400,no,N/A,no,0,745377647442498
Origin,N/A,27053106700,no,N/A,no,0,744819301655114
Origin,N/A,27053106900,no,N/A,no,0,744971773010490
Origin,N/A,27053107000,no,N/A,no,0,744894463562294
Origin,N/A,27053107400,no,N/A,no,0,745364762450512
Origin,N/A,27053107500,no,N/A,no,0,745349730108010
Origin,N/A,27053125600,no,N/A,no,0,745476431747710
Origin,N/A,27053125800,no,N/A,no,0,745111359402582
Origin,N/A,27053125900,no,N/A,no,0,745201553713754
Origin,N/A,27053126000,no,N/A,no,0,745027607542358
Origin,N/A,27053126101,no,N/A,no,0,745066262477356
Origin,N/A,27053126102,no,N/A,no,0,745081294828142
Origin,N/A,27053126201,no,N/A,no,0,744896611285608
Origin,N/A,27053126202,no,N/A,no,0,744986805633612
Destination,N/A,27053001100,no,N/A,no,0,745242356423236
Destination,N/A,27053001700,no,N/A,no,0,745027607997014
Destination,N/A,27053002400,no,N/A,no,0,745025460453968
Destination,N/A,27053003801,no,N/A,no,0,745223028806210
Destination,N/A,27053003802,no,N/A,no,0,745265978470948
Destination,N/A,27053005901,no,N/A,no,0,745089884680758
Destination,N/A,27053005902,no,N/A,no,0,745053377421880
Destination,N/A,27053006800,no,N/A,no,0,744894463607352
Destination,N/A,27053007700,no,N/A,no,0,744855808819782
Destination,N/A,27053007801,no,N/A,no,0,744963183024670
Destination,N/A,27053008100,no,N/A,no,0,744806416652866
Destination,N/A,27053008200,no,N/A,no,0,744892315998786
