Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),650
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),21
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),112
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),230
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),193
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),94
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),643
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),14
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),135
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),210
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),198
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),86
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),602
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),30
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),57
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),259
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),167
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),89
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),876
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),40
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),175
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),226
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),253
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),182
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),805
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),23
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),205
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),207
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),240
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),130
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),954
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),87
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),101
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),268
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),259
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),240
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),929
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),38
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),194
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),274
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),256
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),168
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),895
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),31
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),230
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),238
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),253
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),142
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),898
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),56
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),86
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),330
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),251
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),174
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),712
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),38
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),180
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),202
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),189
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),103
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),725
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),32
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),237
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),190
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),183
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),83
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),600
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),50
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),61
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),197
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),177
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),115
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),655
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),19
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),143
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),204
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),178
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),111
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),657
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),12
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),178
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),199
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),171
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),97
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),590
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),37
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),53
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),216
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),166
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),119
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1074
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),36
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),168
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),405
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),299
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),167
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1142
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),31
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),197
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),422
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),337
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),156
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),857
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),48
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),86
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),363
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),201
Bus - StL Bus Index,Origin,N/A,27053005901,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),159
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1722
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),67
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),325
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),617
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),469
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),245
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1830
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),62
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),370
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),659
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),512
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),227
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1352
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),76
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),184
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),488
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),356
Bus - StL Bus Index,Origin,N/A,27053005902,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),246
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1646
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),63
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),339
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),574
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),417
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),254
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1732
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),51
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),397
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),597
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),457
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),231
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1354
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),81
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),173
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),523
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),327
Bus - StL Bus Index,Origin,N/A,27053006800,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),251
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3408
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),269
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),392
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),988
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),951
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),807
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3231
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),165
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),446
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),990
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),923
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),707
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3431
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),522
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),205
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),926
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),933
Bus - StL Bus Index,Origin,N/A,27053007700,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),844
