Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),650,0.215,0.145,0.139,0.224,0.132,0.065,0.033,0.028,0.019,0.140,0.242,0.303,0.207,0.108,0.681,0.145,0.015,0.049,0.001,0.063,0.046,0.114,0.293,0.707,0.159,0.209
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),21,0.189,0.148,0.119,0.294,0.137,0.072,0.017,0.015,0.009,0.196,0.166,0.334,0.183,0.121,0.642,0.150,0.011,0.042,0.000,0.117,0.038,0.174,0.305,0.695,0.174,0.233
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),112,0.206,0.126,0.131,0.255,0.145,0.059,0.041,0.021,0.016,0.131,0.252,0.315,0.199,0.103,0.725,0.109,0.014,0.034,0.000,0.069,0.049,0.120,0.287,0.713,0.158,0.196
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),230,0.212,0.148,0.138,0.220,0.131,0.070,0.031,0.029,0.021,0.140,0.242,0.301,0.208,0.109,0.679,0.153,0.016,0.051,0.000,0.057,0.044,0.108,0.298,0.702,0.160,0.216
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),193,0.219,0.148,0.141,0.214,0.130,0.064,0.033,0.031,0.020,0.139,0.244,0.301,0.210,0.106,0.678,0.148,0.015,0.053,0.001,0.057,0.048,0.108,0.293,0.707,0.161,0.209
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),94,0.237,0.158,0.148,0.202,0.119,0.058,0.030,0.026,0.022,0.140,0.243,0.293,0.212,0.112,0.659,0.159,0.014,0.054,0.001,0.066,0.047,0.119,0.283,0.717,0.151,0.201
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),643,0.221,0.147,0.139,0.223,0.130,0.062,0.033,0.026,0.019,0.142,0.242,0.305,0.204,0.107,0.679,0.148,0.015,0.048,0.000,0.064,0.046,0.117,0.289,0.711,0.157,0.206
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),14,0.172,0.137,0.122,0.311,0.139,0.070,0.022,0.013,0.014,0.182,0.164,0.334,0.193,0.127,0.676,0.129,0.010,0.052,0.000,0.092,0.041,0.145,0.294,0.706,0.167,0.221
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),135,0.208,0.126,0.131,0.259,0.143,0.057,0.040,0.020,0.016,0.131,0.245,0.320,0.199,0.105,0.735,0.103,0.013,0.034,0.000,0.067,0.048,0.122,0.280,0.720,0.156,0.189
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),210,0.224,0.150,0.138,0.212,0.129,0.067,0.031,0.028,0.021,0.149,0.249,0.297,0.202,0.103,0.654,0.169,0.017,0.052,0.000,0.064,0.044,0.116,0.301,0.699,0.161,0.221
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),198,0.214,0.151,0.142,0.214,0.131,0.064,0.033,0.031,0.020,0.137,0.238,0.302,0.213,0.110,0.680,0.148,0.015,0.050,0.001,0.059,0.047,0.112,0.285,0.715,0.155,0.204
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),86,0.261,0.167,0.149,0.196,0.110,0.049,0.024,0.024,0.020,0.150,0.249,0.292,0.201,0.108,0.636,0.177,0.015,0.057,0.001,0.065,0.049,0.121,0.283,0.717,0.150,0.202
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),602,0.205,0.143,0.136,0.227,0.135,0.072,0.033,0.030,0.019,0.134,0.235,0.305,0.214,0.112,0.698,0.132,0.016,0.046,0.000,0.062,0.046,0.111,0.292,0.708,0.160,0.208
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),30,0.208,0.153,0.116,0.268,0.136,0.077,0.013,0.022,0.007,0.197,0.169,0.336,0.175,0.123,0.635,0.160,0.012,0.031,0.000,0.127,0.035,0.188,0.301,0.699,0.171,0.231
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),57,0.205,0.125,0.135,0.230,0.150,0.067,0.042,0.029,0.017,0.137,0.267,0.301,0.202,0.093,0.667,0.144,0.018,0.042,0.000,0.077,0.052,0.122,0.304,0.696,0.166,0.215
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),259,0.191,0.143,0.135,0.233,0.137,0.077,0.032,0.032,0.020,0.124,0.229,0.307,0.220,0.120,0.715,0.123,0.017,0.051,0.000,0.049,0.045,0.097,0.292,0.708,0.156,0.208
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),167,0.220,0.143,0.137,0.217,0.130,0.064,0.036,0.033,0.020,0.141,0.246,0.296,0.214,0.103,0.692,0.141,0.016,0.044,0.001,0.058,0.048,0.105,0.298,0.702,0.168,0.209
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),89,0.214,0.154,0.149,0.201,0.131,0.069,0.033,0.026,0.023,0.123,0.234,0.303,0.224,0.116,0.701,0.122,0.012,0.045,0.001,0.073,0.046,0.125,0.273,0.727,0.144,0.193
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),876,0.257,0.136,0.169,0.183,0.115,0.054,0.031,0.035,0.020,0.133,0.261,0.321,0.191,0.094,0.674,0.152,0.018,0.049,0.000,0.055,0.052,0.111,0.281,0.719,0.153,0.203
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),40,0.253,0.153,0.152,0.184,0.103,0.058,0.038,0.035,0.024,0.144,0.245,0.294,0.208,0.109,0.681,0.149,0.014,0.059,0.001,0.055,0.041,0.097,0.279,0.721,0.142,0.206
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),175,0.291,0.125,0.193,0.185,0.103,0.037,0.024,0.032,0.010,0.137,0.285,0.354,0.153,0.071,0.664,0.150,0.023,0.041,0.001,0.060,0.061,0.129,0.270,0.730,0.153,0.191
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),226,0.264,0.141,0.161,0.177,0.118,0.055,0.031,0.034,0.019,0.150,0.263,0.315,0.186,0.086,0.656,0.167,0.018,0.049,0.000,0.063,0.047,0.116,0.296,0.704,0.161,0.216
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),253,0.250,0.128,0.172,0.190,0.117,0.054,0.032,0.036,0.021,0.125,0.260,0.322,0.197,0.096,0.675,0.152,0.019,0.051,0.000,0.048,0.055,0.101,0.273,0.727,0.147,0.196
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),182,0.221,0.147,0.155,0.176,0.124,0.071,0.036,0.040,0.030,0.117,0.239,0.302,0.223,0.119,0.700,0.136,0.015,0.051,0.000,0.053,0.045,0.105,0.287,0.713,0.152,0.210
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),805,0.269,0.134,0.172,0.181,0.113,0.051,0.029,0.034,0.017,0.140,0.264,0.327,0.182,0.087,0.657,0.162,0.019,0.048,0.001,0.059,0.054,0.117,0.285,0.715,0.156,0.206
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),23,0.307,0.144,0.169,0.173,0.097,0.046,0.027,0.030,0.007,0.172,0.273,0.324,0.158,0.073,0.667,0.158,0.014,0.047,0.001,0.062,0.051,0.107,0.262,0.738,0.135,0.192
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),205,0.291,0.126,0.192,0.181,0.105,0.037,0.024,0.032,0.012,0.139,0.284,0.353,0.153,0.071,0.669,0.151,0.021,0.040,0.001,0.058,0.060,0.125,0.271,0.729,0.153,0.192
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),207,0.273,0.140,0.160,0.173,0.118,0.056,0.030,0.033,0.017,0.162,0.261,0.316,0.180,0.081,0.634,0.181,0.018,0.049,0.000,0.072,0.046,0.127,0.306,0.694,0.167,0.224
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),240,0.259,0.128,0.172,0.191,0.114,0.051,0.030,0.036,0.019,0.129,0.263,0.324,0.190,0.094,0.659,0.159,0.020,0.053,0.001,0.050,0.058,0.103,0.275,0.725,0.148,0.199
