Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5-6 mi (percent),Trip Length 6-7 mi (percent),Trip Length 7-8 mi (percent),Trip Length 8-9 mi (percent),Trip Length 9-10 mi (percent),Trip Length 10+ mi (percent)
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),650,1328,1328,4.3,4.3,0.068,0.178,0.192,0.158,0.115,0.072,0.057,0.040,0.025,0.018,0.015,0.012,0.050,0.077,0.161,0.191,0.188,0.106,0.072,0.050,0.043,0.030,0.018,0.064
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),21,1823,1823,6.3,6.3,0.044,0.074,0.162,0.221,0.103,0.029,0.029,0.044,0.000,0.044,0.103,0.044,0.103,0.044,0.059,0.015,0.412,0.029,0.029,0.044,0.147,0.074,0.044,0.103
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),112,1285,1285,4.3,4.3,0.095,0.119,0.151,0.190,0.130,0.105,0.062,0.049,0.024,0.016,0.024,0.011,0.024,0.092,0.105,0.130,0.281,0.111,0.081,0.051,0.038,0.035,0.027,0.049
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),230,1357,1357,4.4,4.4,0.063,0.201,0.195,0.130,0.124,0.069,0.051,0.039,0.027,0.021,0.014,0.013,0.053,0.065,0.154,0.218,0.161,0.120,0.068,0.057,0.043,0.030,0.014,0.070
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),193,1345,1345,4.2,4.2,0.065,0.196,0.187,0.154,0.096,0.059,0.076,0.042,0.031,0.020,0.006,0.008,0.060,0.077,0.212,0.205,0.160,0.083,0.066,0.049,0.043,0.020,0.019,0.066
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),94,1163,1163,4.0,4.0,0.064,0.176,0.244,0.183,0.122,0.074,0.035,0.029,0.016,0.006,0.003,0.010,0.038,0.096,0.167,0.215,0.151,0.128,0.090,0.032,0.026,0.038,0.006,0.051
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),643,1361,1361,4.3,4.3,0.064,0.156,0.192,0.156,0.126,0.081,0.058,0.040,0.029,0.021,0.017,0.011,0.049,0.069,0.155,0.195,0.196,0.107,0.076,0.048,0.044,0.034,0.014,0.062
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),14,1790,1790,6.9,6.9,0.000,0.111,0.148,0.186,0.111,0.000,0.037,0.111,0.000,0.037,0.148,0.037,0.074,0.000,0.037,0.037,0.445,0.000,0.000,0.074,0.148,0.074,0.000,0.185
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),135,1354,1354,4.4,4.4,0.076,0.099,0.148,0.197,0.133,0.122,0.061,0.053,0.023,0.023,0.027,0.015,0.023,0.072,0.084,0.137,0.308,0.114,0.091,0.053,0.038,0.038,0.019,0.046
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),210,1462,1462,4.5,4.5,0.051,0.166,0.206,0.116,0.152,0.084,0.043,0.036,0.031,0.017,0.019,0.012,0.067,0.048,0.133,0.219,0.181,0.125,0.070,0.060,0.051,0.031,0.012,0.070
